Date;CopperSHMET
13/07/2021;69370
14/07/2021;68810
15/07/2021;68830
16/07/2021;69660
19/07/2021;69210
20/07/2021;68390
21/07/2021;68600
22/07/2021;69040
23/07/2021;70090
26/07/2021;71170
27/07/2021;72520
28/07/2021;72365
29/07/2021;71700
30/07/2021;71900
02/08/2021;71710
03/08/2021;71030
04/08/2021;70290
05/08/2021;69660
06/08/2021;69800
09/08/2021;69620
10/08/2021;69560
11/08/2021;70000
12/08/2021;70430
13/08/2021;70240
16/08/2021;70280
17/08/2021;70080
18/08/2021;69240
19/08/2021;67700
20/08/2021;67260
23/08/2021;68290
24/08/2021;68940
25/08/2021;69600
26/08/2021;69260
27/08/2021;69185
30/08/2021;70165
31/08/2021;70315
01/09/2021;69940
02/09/2021;69460
03/09/2021;69575
06/09/2021;69710
07/09/2021;69580
08/09/2021;69250
09/09/2021;68850
10/09/2021;70035
13/09/2021;71525
14/09/2021;70520
15/09/2021;69860
16/09/2021;70460
17/09/2021;69810
22/09/2021;69075
23/09/2021;69040
24/09/2021;69375
27/09/2021;70060
28/09/2021;69520
29/09/2021;68965
30/09/2021;68700
08/10/2021;69940
11/10/2021;69925
12/10/2021;70320
13/10/2021;70160
14/10/2021;72540
15/10/2021;74060
18/10/2021;76030
19/10/2021;75750
20/10/2021;73430
21/10/2021;75190
22/10/2021;73125
25/10/2021;72650
26/10/2021;72585
27/10/2021;72060
28/10/2021;70770
29/10/2021;71575
01/11/2021;71150
02/11/2021;71180
03/11/2021;70910
04/11/2021;71270
05/11/2021;70275
08/11/2021;70865
09/11/2021;71110
10/11/2021;70650
11/11/2021;70780
12/11/2021;71435
15/11/2021;71500
16/11/2021;71750
17/11/2021;70955
18/11/2021;70350
19/11/2021;72250
22/11/2021;71775
23/11/2021;72510
24/11/2021;71820
25/11/2021;72330
26/11/2021;71610
29/11/2021;70795
30/11/2021;70650
01/12/2021;70180
02/12/2021;69900
03/12/2021;69830
06/12/2021;69915
07/12/2021;69760
08/12/2021;69815
09/12/2021;69980
10/12/2021;69750
13/12/2021;69550
14/12/2021;68900
15/12/2021;68875
16/12/2021;68570
17/12/2021;69525
20/12/2021;69200
21/12/2021;69385
22/12/2021;69520
23/12/2021;69850
24/12/2021;69840
27/12/2021;69650
28/12/2021;70270
29/12/2021;70060
30/12/2021;70020
31/12/2021;69910
04/01/2022;69840
05/01/2022;70420
06/01/2022;69960
07/01/2022;69790
10/01/2022;70075
11/01/2022;69900
12/01/2022;70850
13/01/2022;72130
14/01/2022;71570
17/01/2022;70380
18/01/2022;70525
19/01/2022;70330
20/01/2022;70930
21/01/2022;71000
24/01/2022;70800
25/01/2022;70040
26/01/2022;70270
27/01/2022;70400
28/01/2022;70480
07/02/2022;71035
08/02/2022;70690
09/02/2022;70500
10/02/2022;72210
11/02/2022;72580
14/02/2022;71470
15/02/2022;71090
16/02/2022;71550
17/02/2022;71550
18/02/2022;71525
21/02/2022;71530
22/02/2022;71140
23/02/2022;71170
24/02/2022;70810
25/02/2022;71010
28/02/2022;70900
01/03/2022;70880
02/03/2022;71520
03/03/2022;72540
04/03/2022;72930
07/03/2022;75060
08/03/2022;72950
09/03/2022;73080
10/03/2022;72080
11/03/2022;72170
14/03/2022;72210
15/03/2022;71790
16/03/2022;72060
17/03/2022;72740
18/03/2022;73310
21/03/2022;73440
22/03/2022;73510
23/03/2022;73410
24/03/2022;73880
25/03/2022;73775
28/03/2022;73360
29/03/2022;74100
30/03/2022;73980
31/03/2022;73575
01/04/2022;73635
06/04/2022;74000
07/04/2022;73690
08/04/2022;73765
11/04/2022;73720
12/04/2022;73790
13/04/2022;74550
14/04/2022;74370
15/04/2022;75385
18/04/2022;75440
19/04/2022;75575
20/04/2022;74740
21/04/2022;74850
22/04/2022;75070
25/04/2022;74330
26/04/2022;73950
27/04/2022;73770
28/04/2022;74005
29/04/2022;73930
05/05/2022;73760
06/05/2022;72875
09/05/2022;72460
10/05/2022;71990
11/05/2022;71990
12/05/2022;72050
13/05/2022;71160
16/05/2022;71650
17/05/2022;72175
18/05/2022;72070
19/05/2022;71775
20/05/2022;72150
23/05/2022;72400
24/05/2022;72500
25/05/2022;72220
26/05/2022;71950
27/05/2022;72625
30/05/2022;72650
31/05/2022;72630
01/06/2022;72150
02/06/2022;72530
06/06/2022;73225
07/06/2022;72975
08/06/2022;72890
09/06/2022;73030
10/06/2022;72750
13/06/2022;72170
14/06/2022;71670
15/06/2022;71250
16/06/2022;71255
17/06/2022;69975
20/06/2022;68750
21/06/2022;68700
22/06/2022;68160
23/06/2022;66050
24/06/2022;64340
27/06/2022;64465
28/06/2022;64150
29/06/2022;63940
30/06/2022;64230
01/07/2022;62930
04/07/2022;61560
05/07/2022;61225
06/07/2022;58125
07/07/2022;58600
08/07/2022;59600
11/07/2022;58535
12/07/2022;58430
13/07/2022;56460
14/07/2022;56300
15/07/2022;54890
18/07/2022;56010
19/07/2022;56210
20/07/2022;56920
21/07/2022;56360
22/07/2022;57030
25/07/2022;57570
26/07/2022;58930
27/07/2022;58710
28/07/2022;60090
29/07/2022;60315
01/08/2022;61640
02/08/2022;60180
03/08/2022;60260
04/08/2022;59930
05/08/2022;60520
08/08/2022;61340
09/08/2022;61540
10/08/2022;61780
11/08/2022;62520
12/08/2022;63000
15/08/2022;62310
16/08/2022;62460
17/08/2022;62470
18/08/2022;62300
19/08/2022;62950
22/08/2022;63610
23/08/2022;63570
24/08/2022;63715
25/08/2022;63330
26/08/2022;64270
29/08/2022;63720
30/08/2022;63120
31/08/2022;62770
01/09/2022;61775
02/09/2022;60500
05/09/2022;60840
06/09/2022;61750
07/09/2022;61700
08/09/2022;61910
09/09/2022;63650
13/09/2022;63850
14/09/2022;63050
15/09/2022;63370
16/09/2022;62865
19/09/2022;63440
20/09/2022;63370
21/09/2022;63120
22/09/2022;63120
23/09/2022;63025
26/09/2022;61570
