DATElme;Official Ask LME
02/10/2019;5629
03/10/2019;5626
04/10/2019;5599
07/10/2019;5626
08/10/2019;5650,5
09/10/2019;5660
10/10/2019;5698,5
11/10/2019;5763
14/10/2019;5718,5
15/10/2019;5745
16/10/2019;5684
17/10/2019;5726,5
18/10/2019;5751
21/10/2019;5820
22/10/2019;5794
23/10/2019;5773
24/10/2019;5869
25/10/2019;5867,5
28/10/2019;5888,5
29/10/2019;5879,5
30/10/2019;5883
31/10/2019;5825
01/11/2019;5797
04/11/2019;5846,5
05/11/2019;5880
06/11/2019;5913,5
07/11/2019;5941
08/11/2019;5951,5
11/11/2019;5857
12/11/2019;5838
13/11/2019;5823
14/11/2019;5835
15/11/2019;5812
18/11/2019;5828
19/11/2019;5821,5
20/11/2019;5873
21/11/2019;5813
22/11/2019;5834
25/11/2019;5872,5
26/11/2019;5856
27/11/2019;5925,5
28/11/2019;5881,5
29/11/2019;5854
02/12/2019;5855,5
03/12/2019;5812
04/12/2019;5823
05/12/2019;5855
06/12/2019;5867,5
09/12/2019;5985
10/12/2019;6055
11/12/2019;6083
12/12/2019;6097
13/12/2019;6154
16/12/2019;6155,5
17/12/2019;6175
18/12/2019;6126,5
19/12/2019;6161
20/12/2019;6155,5
23/12/2019;6153
24/12/2019;6184,5
27/12/2019;6211
30/12/2019;6183,5
31/12/2019;6156
02/01/2020;6165,5
03/01/2020;6077
06/01/2020;6097,5
07/01/2020;6134,5
08/01/2020;6154
09/01/2020;6156
10/01/2020;6157
13/01/2020;6177
14/01/2020;6247
15/01/2020;6232
16/01/2020;6300,5
17/01/2020;6276,5
20/01/2020;6245
21/01/2020;6158,5
22/01/2020;6103,5
23/01/2020;6050
24/01/2020;5968
27/01/2020;5779
28/01/2020;5715
29/01/2020;5698
30/01/2020;5621
31/01/2020;5570
03/02/2020;5595
04/02/2020;5652
05/02/2020;5714
06/02/2020;5726
07/02/2020;5653
10/02/2020;5659,5
11/02/2020;5696
12/02/2020;5747
13/02/2020;5716
14/02/2020;5737
17/02/2020;5802
18/02/2020;5728
19/02/2020;5745,5
20/02/2020;5730
21/02/2020;5702
24/02/2020;5657,5
25/02/2020;5663,5
26/02/2020;5614
27/02/2020;5618
28/02/2020;5573
02/03/2020;5640
03/03/2020;5668
04/03/2020;5694,5
05/03/2020;5667,5
06/03/2020;5624
09/03/2020;5483
10/03/2020;5598
11/03/2020;5552
12/03/2020;5386,5
13/03/2020;5530,5
16/03/2020;5211
17/03/2020;5205
18/03/2020;4860,5
19/03/2020;4685
20/03/2020;4855
23/03/2020;4617,5
24/03/2020;4789,5
25/03/2020;4754
26/03/2020;4775,5
27/03/2020;4774
30/03/2020;4763
31/03/2020;4797
01/04/2020;4772
02/04/2020;4821,5
03/04/2020;4863,5
06/04/2020;4867
07/04/2020;5067,5
08/04/2020;4976
