"Date","Price","Open","High","Low","Vol.","Change %","Change.."
"03/10/2021",20.872,21.197,21.2835,20.8669,NA,NA,"-1.49%"
"03/09/2021",21.188,21.518,21.5723,21.128,NA,NA,"-1.49%"
"03/08/2021",21.509,21.254,21.6381,21.2135,NA,NA,"0.98%"
"03/05/2021",21.301,21.1265,21.4227,21.0875,NA,NA,"0.87%"
"03/04/2021",21.118,20.9465,21.1728,20.756,NA,NA,"0.87%"
"03/03/2021",20.935,20.6115,20.9998,20.5493,NA,NA,"1.65%"
"03/02/2021",20.596,20.657,20.7944,20.5544,NA,NA,"-0.21%"
"03/01/2021",20.64,20.862,20.8753,20.5751,NA,NA,"-1.00%"
"02/26/2021",20.848,20.8525,21.051,20.7777,NA,NA,"0.06%"
"02/25/2021",20.836,20.3765,21.0395,20.3695,NA,NA,"2.34%"
"02/24/2021",20.359,20.514,20.5583,20.3489,NA,NA,"-0.69%"
"02/23/2021",20.5,20.7315,20.7668,20.4965,NA,NA,"-1.03%"
"02/22/2021",20.714,20.4782,20.8347,20.4525,NA,NA,"1.41%"
"02/19/2021",20.425,20.31,20.5297,20.2516,NA,NA,"0.67%"
"02/18/2021",20.289,20.2295,20.4851,20.1347,NA,NA,"0.41%"
"02/17/2021",20.207,20.1475,20.3944,20.136,NA,NA,"0.37%"
"02/16/2021",20.133,19.965,20.2528,19.9216,NA,NA,"0.92%"
"02/15/2021",19.95,19.944,19.9849,19.885,NA,NA,"0.10%"
"02/12/2021",19.93,19.9635,20.0975,19.8962,NA,NA,"-0.07%"
"02/11/2021",19.943,20.0445,20.065,19.8953,NA,NA,"-0.39%"
"02/10/2021",20.021,20.098,20.1577,19.9921,NA,NA,"-0.27%"
"02/09/2021",20.075,20.11,20.1605,20.0019,NA,NA,"-0.13%"
"02/08/2021",20.101,20.1133,20.2531,20.0678,NA,NA,"0.12%"
"02/05/2021",20.077,20.395,20.43,20.0718,NA,NA,"-1.44%"
"02/04/2021",20.371,20.2075,20.5072,20.1702,NA,NA,"0.92%"
"02/03/2021",20.185,20.131,20.2554,20.0625,NA,NA,"0.35%"
"02/02/2021",20.115,20.381,20.3913,20.1106,NA,NA,"-1.23%"
"02/01/2021",20.365,20.475,20.5187,20.2633,NA,NA,"-1.07%"
"01/29/2021",20.5855,20.25,20.6045,20.0826,NA,NA,"1.75%"
"01/28/2021",20.2316,20.2771,20.465,20.1268,NA,NA,"-0.24%"
"01/27/2021",20.28,19.986,20.3342,19.977,NA,NA,"1.59%"
"01/26/2021",19.963,20.1157,20.2981,19.9337,NA,NA,"-0.70%"
"01/25/2021",20.1037,19.965,20.241,19.8508,NA,NA,"0.70%"
"01/22/2021",19.963,19.7295,20.0075,19.7146,NA,NA,"1.26%"
"01/21/2021",19.714,19.6015,19.81,19.5436,NA,NA,"0.64%"
"01/20/2021",19.588,19.6715,19.6775,19.5516,NA,NA,"-0.32%"
"01/19/2021",19.65,19.6864,19.7347,19.5958,NA,NA,"-0.11%"
"01/18/2021",19.6708,19.8175,19.9705,19.6525,NA,NA,"-0.51%"
"01/15/2021",19.772,19.7181,19.9031,19.6812,NA,NA,"0.33%"
"01/14/2021",19.7061,19.8533,19.8957,19.6348,NA,NA,"-0.67%"
"01/13/2021",19.8392,19.7935,19.9004,19.7306,NA,NA,"0.33%"
"01/12/2021",19.773,20.0726,20.1235,19.7698,NA,NA,"-1.42%"
"01/11/2021",20.0585,20.009,20.2686,19.9877,NA,NA,"0.26%"
"01/08/2021",20.0069,20.0134,20.1551,19.8642,NA,NA,"0.04%"
"01/07/2021",19.9994,19.64,20.0974,19.611,NA,NA,"1.86%"
