"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2023","3.4068","3.4148","3.4165","3.3745","","-0.01%"
"07/14/2023","3.4072","3.4052","3.4169","3.3753","","0.88%"
"07/13/2023","3.3775","3.3973","3.4148","3.3672","","-0.53%"
"07/12/2023","3.3954","3.3853","3.4130","3.3564","","0.36%"
"07/11/2023","3.3831","3.3797","3.3918","3.3528","","0.51%"
"07/10/2023","3.3661","3.3909","3.4073","3.3515","","-0.46%"
"07/07/2023","3.3817","3.3772","3.3923","3.3449","","0.17%"
"07/06/2023","3.3761","3.3584","3.3802","3.3408","","0.71%"
"07/05/2023","3.3524","3.3759","3.3802","3.3436","","-0.63%"
"07/04/2023","3.3738","3.3811","3.3898","3.3444","","-0.15%"
"07/03/2023","3.3790","3.3735","3.3898","3.3424","","0.28%"
"06/30/2023","3.3696","3.3578","3.3893","3.3380","","0.38%"
"06/29/2023","3.3570","3.3730","3.3904","3.3556","","-0.43%"
"06/28/2023","3.3715","3.3877","3.4046","3.3575","","-0.44%"
"06/27/2023","3.3863","3.3760","3.3960","3.3495","","0.36%"
"06/26/2023","3.3742","3.3436","3.3923","3.3417","","0.02%"
"06/23/2023","3.3735","3.3798","3.3958","3.3393","","-0.14%"
"06/22/2023","3.3782","3.3955","3.3972","3.3516","","0.02%"
"06/21/2023","3.3775","3.3707","3.3972","3.3476","","0.27%"
"06/20/2023","3.3683","3.3689","3.3940","3.3464","","0.05%"
"06/19/2023","3.3666","3.3516","3.3923","3.3467","","0.00%"
"06/16/2023","3.3665","3.3670","3.3946","3.3435","","0.05%"
"06/15/2023","3.3649","3.3403","3.3923","3.3347","","0.77%"
"06/14/2023","3.3392","3.3358","3.3616","3.3301","","0.23%"
"06/13/2023","3.3317","3.3346","3.3613","3.3325","","0.01%"
"06/12/2023","3.3314","3.3345","3.3511","3.3201","","-0.24%"
"06/09/2023","3.3395","3.3454","3.3556","3.3204","","-0.13%"
"06/08/2023","3.3437","3.3438","3.3563","3.3147","","0.43%"
"06/07/2023","3.3295","3.3414","3.3488","3.3042","","0.03%"
"06/06/2023","3.3284","3.3115","3.3465","3.2972","","0.56%"
"06/05/2023","3.3100","3.3108","3.3442","3.2991","","0.05%"
"06/02/2023","3.3082","3.3266","3.3472","3.3073","","-0.50%"
"06/01/2023","3.3248","3.3040","3.3505","3.2966","","0.67%"
"05/31/2023","3.3026","3.3163","3.3400","3.2865","","-0.27%"
"05/30/2023","3.3116","3.3289","3.3405","3.2970","","-0.47%"
"05/29/2023","3.3273","3.3047","3.3349","3.2935","","0.80%"
"05/26/2023","3.3008","3.3139","3.3514","3.2983","","-0.34%"
"05/25/2023","3.3122","3.3228","3.3499","3.2889","","0.25%"
"05/24/2023","3.3039","3.3293","3.3465","3.2787","","-0.72%"
"05/23/2023","3.3279","3.3406","3.3467","3.3169","","-0.33%"
"05/22/2023","3.3389","3.3242","3.3484","3.3112","","0.08%"
"05/19/2023","3.3362","3.3291","3.3471","3.3091","","0.26%"
"05/18/2023","3.3276","3.3394","3.3477","3.3076","","-0.31%"
"05/17/2023","3.3381","3.3403","3.3607","3.3136","","-0.01%"
"05/16/2023","3.3386","3.3360","3.3602","3.3142","","0.42%"
"05/15/2023","3.3245","3.3554","3.3626","3.3121","","0.97%"
"05/12/2023","3.2924","3.3439","3.3505","3.3031","","-1.50%"
"05/11/2023","3.3426","3.3498","3.3563","3.3157","","-0.16%"
"05/10/2023","3.3481","3.3489","3.3592","3.3214","","0.04%"
"05/09/2023","3.3466","3.3513","3.3654","3.3212","","0.21%"
"05/08/2023","3.3397","3.3553","3.3730","3.3365","","0.34%"
"05/05/2023","3.3285","3.3524","3.3802","3.3330","","-0.67%"
"05/04/2023","3.3511","3.3607","3.3818","3.3349","","-0.25%"
"05/03/2023","3.3596","3.3530","3.3813","3.3305","","0.52%"
"05/02/2023","3.3422","3.3426","3.3700","3.3184","","0.32%"
"05/01/2023","3.3316","3.3526","3.3543","3.3177","","-0.01%"
"04/28/2023","3.3319","3.3639","3.3716","3.3284","","-0.47%"
"04/27/2023","3.3478","3.3526","3.3738","3.3384","","0.21%"
"04/26/2023","3.3409","3.3554","3.3761","3.3316","","0.27%"
"04/25/2023","3.3319","3.3523","3.3724","3.3296","","-0.24%"
"04/24/2023","3.3398","3.4411","3.4424","3.3426","","-2.88%"
"04/21/2023","3.4389","3.4391","3.4574","3.3808","","0.50%"
"04/20/2023","3.4217","3.4347","3.4490","3.3796","","0.12%"
"04/19/2023","3.4176","3.4507","3.4546","3.3793","","-0.47%"
"04/18/2023","3.4339","3.4247","3.4518","3.3757","","0.73%"
"04/17/2023","3.4089","3.3403","3.4508","3.3175","","2.00%"
"04/14/2023","3.3422","3.3447","3.3691","3.3217","","0.27%"
"04/13/2023","3.3331","3.3403","3.3670","3.3272","","0.13%"
"04/12/2023","3.3287","3.3210","3.3646","3.3210","","0.26%"
"04/11/2023","3.3202","3.3272","3.3515","3.3156","","0.14%"
"04/10/2023","3.3154","3.3226","3.3331","3.3119","","-0.87%"
"04/07/2023","3.3445","3.3310","3.3493","3.3159","","0.60%"
"04/06/2023","3.3247","3.3239","3.3491","3.3061","","0.03%"
"04/05/2023","3.3237","3.3234","3.3538","3.3082","","0.06%"
"04/04/2023","3.3216","3.3178","3.3532","3.3158","","0.15%"
"04/03/2023","3.3167","3.3062","3.3524","3.2880","","0.18%"
"03/31/2023","3.3107","3.3479","3.4037","3.3040","","-1.04%"
"03/30/2023","3.3455","3.3254","3.3570","3.3093","","0.94%"
"03/29/2023","3.3142","3.3519","3.3797","3.3094","","-1.08%"
"03/28/2023","3.3505","3.3635","3.3795","3.3151","","0.11%"
"03/27/2023","3.3468","3.3300","3.3644","3.2983","","0.34%"
"03/24/2023","3.3353","3.3400","3.3626","3.2970","","-0.12%"
"03/23/2023","3.3394","3.3258","3.3591","3.3037","","0.75%"
"03/22/2023","3.3146","3.3166","3.3870","3.3036","","0.26%"
"03/21/2023","3.3060","3.3285","3.3603","3.3038","","-0.54%"
"03/20/2023","3.3240","3.3193","3.3454","3.2988","","0.95%"
"03/17/2023","3.2927","3.3003","3.3427","3.2803","","0.13%"
"03/16/2023","3.2884","3.3358","3.3498","3.2761","","-1.08%"
"03/15/2023","3.3244","3.3556","3.3790","3.2719","","-0.90%"
"03/14/2023","3.3545","3.3313","3.3778","3.2996","","1.04%"
"03/13/2023","3.3201","3.3244","3.3548","3.2913","","-0.15%"
"03/10/2023","3.3251","3.3215","3.3665","3.2594","","0.45%"
"03/09/2023","3.3103","3.3568","3.3575","3.2608","","-1.06%"
"03/08/2023","3.3459","3.3354","3.3602","3.2905","","0.36%"
"03/07/2023","3.3338","3.3301","3.3716","3.2851","","0.16%"
"03/06/2023","3.3285","3.3280","3.3798","3.2889","","0.30%"
"03/03/2023","3.3184","3.3402","3.3632","3.2774","","-0.61%"
"03/02/2023","3.3388","3.3461","3.3684","3.3145","","0.10%"
"03/01/2023","3.3354","3.3379","3.3763","3.2898","","-0.05%"
"02/28/2023","3.3372","3.3473","3.3649","3.3145","","-0.01%"
"02/27/2023","3.3374","3.2898","3.3613","3.2561","","1.43%"
"02/24/2023","3.2904","3.2977","3.3437","3.2573","","0.16%"
"02/23/2023","3.2853","3.2873","3.3440","3.2725","","0.01%"
"02/22/2023","3.2850","3.3610","3.3657","3.2856","","-1.95%"
"02/21/2023","3.3504","3.3564","3.3702","3.2878","","0.18%"
"02/20/2023","3.3444","3.3034","3.3721","3.2938","","1.36%"
"02/17/2023","3.2996","3.2977","3.3623","3.2802","","-0.72%"
"02/16/2023","3.3234","3.3003","3.3710","3.2916","","0.43%"
"02/15/2023","3.3092","3.3298","3.3712","3.2899","","-0.57%"
"02/14/2023","3.3281","3.3565","3.3888","3.2831","","-0.82%"
"02/13/2023","3.3555","3.3307","3.3678","3.2870","","1.14%"
"02/10/2023","3.3178","3.3352","3.3694","3.3000","","-0.18%"
"02/09/2023","3.3238","3.3331","3.3743","3.2887","","0.07%"
"02/08/2023","3.3216","3.2904","3.3668","3.2884","","0.97%"
"02/07/2023","3.2896","3.2909","3.3526","3.2840","","-0.04%"
"02/06/2023","3.2910","3.3039","3.3725","3.2874","","-0.80%"
"02/03/2023","3.3174","3.3175","3.3728","3.2966","","0.11%"
"02/02/2023","3.3139","3.3282","3.3715","3.2985","","-0.39%"
"02/01/2023","3.3270","3.3217","3.3776","3.3069","","0.29%"
"01/31/2023","3.3173","3.3217","3.3433","3.2884","","0.04%"
"01/30/2023","3.3161","3.3244","3.3528","3.3175","","0.07%"
"01/27/2023","3.3138","3.3224","3.3835","3.3019","","-0.99%"
"01/26/2023","3.3471","3.3354","3.3832","3.3041","","0.85%"
"01/25/2023","3.3189","3.3440","3.3856","3.3100","193.83K","-0.66%"
"01/24/2023","3.3408","3.3569","3.3835","3.3070","174.48K","-0.16%"
"01/23/2023","3.3463","3.3362","3.3834","3.3149","140.23K","0.15%"
"01/20/2023","3.3414","3.3362","3.3728","3.2947","127.97K","0.24%"
"01/19/2023","3.3335","3.3342","3.3777","3.2898","199.43K","0.31%"
"01/18/2023","3.3231","3.3348","3.3787","3.2912","235.75K","-0.01%"
"01/17/2023","3.3234","3.3261","3.3658","3.2927","154.08K","0.30%"
"01/16/2023","3.3134","3.3282","3.3628","3.3081","87.10K","-0.02%"
"01/13/2023","3.3140","3.3298","3.3675","3.3136","146.03K","-0.13%"
"01/12/2023","3.3182","3.3247","3.3572","3.2936","134.11K","0.15%"
"01/11/2023","3.3133","3.3222","3.3490","3.3003","108.18K","0.07%"
"01/10/2023","3.3109","3.3635","3.3688","3.3098","113.21K","-1.57%"
"01/09/2023","3.3637","3.3303","3.3818","3.2854","101.67K","1.26%"
"01/06/2023","3.3218","3.3117","3.3582","3.2633","115.02K","0.65%"
"01/05/2023","3.3005","3.3172","3.3541","3.2661","107.02K","0.16%"
"01/04/2023","3.2953","3.2999","3.3596","3.2804","164.67K","-0.14%"
"01/03/2023","3.2999","3.3535","3.3595","3.2570","160.45K","-1.27%"
"01/02/2023","3.3424","3.3263","3.3586","3.2824","38.17K","0.78%"
"12/30/2022","3.3165","3.3477","3.3617","3.2819","148.94K","-0.60%"
"12/29/2022","3.3365","3.3120","3.3620","3.2778","114.99K","0.76%"
"12/28/2022","3.3112","3.3249","3.3498","3.2766","118.46K","-0.08%"
"12/27/2022","3.3137","3.3120","3.3582","3.2848","124.11K","0.40%"
"12/26/2022","3.3006","3.3080","3.3440","3.2754","29.10K","-0.24%"
"12/23/2022","3.3086","3.3470","3.3540","3.2737","146.63K","-0.81%"
"12/22/2022","3.3357","3.3175","3.3626","3.2954","173.16K","0.91%"
"12/21/2022","3.3056","3.3162","3.3628","3.2756","174.58K","-0.60%"
"12/20/2022","3.3256","3.3430","3.3681","3.2833","240.00K","-0.20%"
"12/19/2022","3.3321","3.3638","3.3692","3.2876","120.12K","-0.55%"
"12/16/2022","3.3504","3.3365","3.3714","3.3035","130.07K","1.08%"
"12/15/2022","3.3147","3.3565","3.3695","3.2971","149.04K","-0.61%"
"12/14/2022","3.3350","3.3782","3.3793","3.2989","170.49K","-0.94%"
"12/13/2022","3.3666","3.4007","3.4334","3.3322","116.13K","-0.70%"
"12/12/2022","3.3905","3.3973","3.4132","3.2594","91.37K","0.36%"
"12/09/2022","3.3784","3.3763","3.4185","3.3424","109.69K","0.17%"
"12/08/2022","3.3725","3.3665","3.4158","3.3462","115.76K","0.52%"
"12/07/2022","3.3551","3.3749","3.4174","3.3529","122.13K","-0.27%"
"12/06/2022","3.3642","3.3636","3.3877","3.3183","135.22K","0.31%"
"12/05/2022","3.3538","3.3965","3.4089","3.3200","144.08K","-0.01%"
"12/02/2022","3.3542","3.3968","3.4139","3.3317","129.35K","-0.93%"
"12/01/2022","3.3858","3.3786","3.4104","3.3397","195.57K","1.15%"
"11/30/2022","3.3473","3.3615","3.3989","3.3259","146.75K","0.21%"
"11/29/2022","3.3402","3.3628","3.3967","3.3252","139.51K","-0.04%"
"11/28/2022","3.3414","3.3842","3.4126","3.3229","105.41K","-1.08%"
"11/25/2022","3.3780","3.3584","3.4030","3.2471","153.06K","0.91%"
"11/24/2022","3.3476","3.3698","3.4181","3.2184","128.35K","-0.32%"
"11/23/2022","3.3584","3.3534","3.4018","3.3022","122.38K","0.48%"
"11/22/2022","3.3423","3.3565","3.3753","3.2976","161.19K","0.47%"
"11/21/2022","3.3267","3.2584","3.3691","3.2575","117.78K","1.71%"
"11/18/2022","3.2707","3.2710","3.3499","3.2376","140.71K","0.03%"
"11/17/2022","3.2696","3.2698","3.3588","3.2317","138.00K","0.38%"
"11/16/2022","3.2572","3.3375","3.3477","3.2341","128.21K","-1.78%"
"11/15/2022","3.3161","3.3163","3.3757","3.2348","186.23K","0.31%"
"11/14/2022","3.3060","3.3463","3.3576","3.2281","142.63K","-0.01%"
