"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","27.0487","27.0063","27.2369","26.8323","","0.40%"
"01/04/2024","26.9417","26.9445","27.1847","26.9020","","0.20%"
"01/03/2024","26.8886","27.0123","27.1317","26.8676","","-0.17%"
"01/02/2024","26.9354","27.2942","27.2980","26.9428","","-1.06%"
"01/01/2024","27.2249","27.2316","27.3016","27.2291","","0.19%"
"12/29/2023","27.1739","27.2919","27.4576","27.2158","","-0.21%"
"12/28/2023","27.2317","27.4566","27.5525","27.2264","","-0.80%"
"12/27/2023","27.4516","27.2465","27.5676","27.1672","","0.97%"
"12/26/2023","27.1887","27.2110","27.2622","27.1567","","0.20%"
"12/25/2023","27.1357","27.1800","27.2208","27.1220","","0.10%"
"12/22/2023","27.1077","27.1606","27.3120","27.1150","","0.03%"
"12/21/2023","27.1006","27.0134","27.2165","26.9293","","1.01%"
"12/20/2023","26.8309","27.0823","27.1362","26.8735","","-0.72%"
"12/19/2023","27.0262","26.9429","27.1814","26.8738","","0.53%"
"12/18/2023","26.8834","26.8869","27.0467","26.8584","","0.27%"
"12/15/2023","26.8101","27.1112","27.1912","26.8016","","-0.88%"
"12/14/2023","27.0489","26.8153","27.2955","26.8104","","1.09%"
"12/13/2023","26.7585","26.6155","27.0250","26.5222","","0.75%"
"12/12/2023","26.5591","26.5415","26.7974","26.4958","","0.27%"
"12/11/2023","26.4877","26.5401","26.6784","26.4282","","0.14%"
"12/08/2023","26.4505","26.6852","26.7617","26.4247","","-0.87%"
"12/07/2023","26.6828","26.5606","26.7908","26.5104","","0.73%"
"12/06/2023","26.4896","26.6413","26.8071","26.5065","","-0.36%"
"12/05/2023","26.5848","26.7389","26.8633","26.5492","","-0.37%"
"12/04/2023","26.6847","26.8964","26.9217","26.6375","","-0.32%"
"12/01/2023","26.7697","26.8673","27.0252","26.6696","","-0.13%"
"11/30/2023","26.8054","27.0797","27.1527","26.8022","","-0.79%"
"11/29/2023","27.0175","27.1503","27.2763","26.9813","","-0.49%"
"11/28/2023","27.1503","27.0454","27.2623","26.9654","","0.60%"
"11/27/2023","26.9882","27.0035","27.1131","26.9569","","0.13%"
"11/24/2023","26.9537","26.9256","27.1207","26.9034","","0.32%"
"11/23/2023","26.8685","26.8836","26.9909","26.8737","","0.16%"
"11/22/2023","26.8267","26.9425","27.0166","26.7934","","-0.21%"
"11/21/2023","26.8830","27.0142","27.1518","26.9108","","-0.27%"
"11/20/2023","26.9545","26.9519","27.1320","26.8864","","0.27%"
"11/17/2023","26.8825","26.8034","26.9982","26.7355","","0.52%"
"11/16/2023","26.7442","26.7932","26.9509","26.7481","","0.03%"
"11/15/2023","26.7365","26.8929","26.9948","26.6859","","-0.59%"
"11/14/2023","26.8941","26.4286","26.9837","26.4114","","2.00%"
"11/13/2023","26.3678","26.3927","26.4935","26.2870","","0.27%"
"11/10/2023","26.2966","26.3519","26.4980","26.2768","","0.01%"
"11/09/2023","26.2949","26.4484","26.5277","26.2781","","-0.38%"
"11/08/2023","26.3949","26.4265","26.5648","26.3130","","0.08%"
"11/07/2023","26.3730","26.4710","26.5928","26.3109","","-0.17%"
"11/06/2023","26.4174","26.4974","26.6402","26.4565","","-0.10%"
"11/03/2023","26.4438","26.2346","26.6381","26.2136","","1.03%"
"11/02/2023","26.1741","26.1001","26.3472","26.0928","","0.50%"
"11/01/2023","26.0448","26.1115","26.2010","25.9517","","-0.07%"
"10/31/2023","26.0635","26.2746","26.3744","26.0577","","-0.17%"
"10/30/2023","26.1080","26.0896","26.3209","26.0299","","0.29%"
