"Date","Price","Open","High","Low","Vol.","Change.."
2019-11-07,117.11,117.42,117.58,117.205,"103.98K","-0.05%"
2019-11-06,117.17,117.365,117.595,117.2,"94.34K","0.04%"
2019-11-05,117.12,117.365,117.605,117.225,"99.44K","0.01%"
2019-11-04,117.11,117.42,117.625,117.23,"80.17K","-0.09%"
2019-11-01,117.22,117.465,117.63,117.215,"86.60K","0.01%"
2019-10-31,117.21,117.485,117.62,117.35,"104.08K","-0.11%"
2019-10-30,117.34,117.445,117.645,117.31,"91.08K","0.13%"
2019-10-29,117.19,117.435,117.64,117.245,"76.80K","0.00%"
2019-10-28,117.19,117.59,117.7,117.265,"60.55K","-0.20%"
2019-10-25,117.43,117.515,117.785,117.36,"84.11K","0.13%"
2019-10-24,117.28,117.62,117.83,117.335,"99.69K","-0.17%"
2019-10-23,117.48,117.645,117.74,117.415,"99.80K","-0.04%"
2019-10-22,117.53,117.685,117.835,117.45,"99.53K","0.09%"
2019-10-21,117.43,117.315,117.8,117.25,"86.26K","-0.03%"
2019-10-18,117.46,117.58,117.79,117.405,"88.29K","0.08%"
2019-10-17,117.37,117.495,117.755,117.315,"103.45K","0.11%"
2019-10-16,117.24,117.44,117.71,117.34,"105.04K","0.04%"
2019-10-15,117.19,117.375,117.635,117.31,"106.35K","0.04%"
2019-10-14,117.14,117.495,117.605,117.215,"82.52K","-0.22%"
2019-10-11,117.4,117.52,117.665,117.235,"102.39K","0.11%"
2019-10-10,117.27,117.445,117.705,117.305,"107.72K","0.07%"
2019-10-09,117.19,117.385,117.645,117.29,"84.43K","0.05%"
2019-10-08,117.13,117.51,117.645,117.25,"87.24K","-0.22%"
2019-10-07,117.39,117.455,117.65,117.36,"71.54K","0.04%"
2019-10-04,117.34,117.505,117.67,117.295,"90.86K","-0.05%"
2019-10-03,117.4,117.47,117.795,117.275,"89.10K","0.05%"
2019-10-02,117.34,117.515,117.64,117.33,"64.94K","0.07%"
2019-10-01,117.26,117.31,117.75,117.075,"67.85K","0.17%"
2019-09-30,117.06,117.495,117.615,117.225,"62.38K","-0.26%"
2019-09-27,117.36,117.47,117.705,117.24,"72.21K","0.10%"
2019-09-26,117.24,117.555,117.63,117.25,"86.02K","-0.16%"
2019-09-25,117.43,117.505,117.665,117.38,"84.86K","0.15%"
2019-09-24,117.25,117.615,117.685,117.385,"80.56K","-0.18%"
2019-09-23,117.46,117.54,117.72,117.36,"69.68K","0.12%"
2019-09-20,117.32,117.485,117.705,117.325,"74.36K","0.08%"
2019-09-19,117.23,117.605,117.71,117.355,"86.92K","-0.22%"
