Date,Price,Open,High,Low,Vol.,Change..
2021-12-27,23.4131,23.3349,23.4939,23.2796,NA,0.43%
2021-12-28,23.344,23.4338,23.4716,23.222,NA,-0.30%
2021-12-29,23.3304,23.3652,23.4154,23.2504,NA,-0.06%
2021-12-30,23.1629,23.3526,23.3789,23.1655,NA,-0.72%
2021-12-31,23.2896,23.1688,23.3588,23.064,NA,0.55%
2022-01-03,23.1459,23.2936,23.3361,23.1385,NA,-0.62%
2022-01-04,23.1354,23.1739,23.2793,23.0536,NA,-0.05%
2022-01-05,23.2652,23.1558,23.3053,23.0636,NA,0.56%
2022-01-06,23.1307,23.2865,23.454,23.0529,NA,-0.58%
2022-01-07,23.1269,23.1551,23.2166,23.0685,NA,-0.02%
2022-01-10,23.0602,23.1346,23.2501,23.0242,NA,-0.29%
2022-01-11,23.1533,23.0767,23.2225,23.0616,NA,0.40%
2022-01-12,23.2662,23.167,23.3368,23.1521,NA,0.49%
2022-01-13,23.2874,23.2854,23.4155,23.2605,NA,0.09%
2022-01-14,23.159,23.3104,23.3496,23.1458,NA,-0.55%
2022-01-17,23.1345,23.1773,23.2374,23.1255,NA,-0.11%
2022-01-18,23.0985,23.1541,23.2516,23.072,NA,-0.16%
2022-01-19,23.2513,23.1133,23.2997,23.0471,NA,0.66%
2022-01-20,23.2183,23.2687,23.3009,23.1325,NA,-0.14%
2022-01-21,23.1914,23.2383,23.2799,23.173,NA,-0.12%
2022-01-24,23.2812,23.2174,23.4256,23.1378,NA,0.39%
2022-01-25,23.2771,23.3025,23.3635,23.2582,NA,-0.02%
2022-01-26,23.2954,23.2998,23.3804,23.175,NA,0.08%
2022-01-27,23.1206,23.3202,23.354,23.0455,NA,-0.75%
2022-01-28,23.1652,23.1453,23.3414,23.1049,NA,0.19%
2022-01-31,23.1681,23.1925,23.2499,23.0998,NA,0.01%
2022-02-01,23.1353,23.1803,23.2099,23.0935,NA,-0.14%
2022-02-02,23.2414,23.157,23.3225,23.1237,NA,0.46%
2022-02-03,23.4834,23.2568,23.5951,23.2094,NA,1.04%
2022-02-04,23.6566,23.5058,23.7857,23.4965,NA,0.74%
2022-02-07,23.5453,23.7152,23.7169,23.5413,NA,-0.47%
2022-02-08,23.5106,23.5653,23.6291,23.5036,NA,-0.15%
2022-02-09,23.3717,23.5309,23.5496,23.3795,NA,-0.59%
2022-02-10,23.4745,23.4032,23.5739,23.275,NA,0.44%
2022-02-11,23.295,23.4949,23.5229,23.2071,NA,-0.76%
2022-02-14,23.0679,23.3046,23.3426,23.0438,NA,-0.97%
2022-02-15,23.1542,23.09,23.1942,23.0629,NA,0.37%
2022-02-16,23.0534,23.1723,23.2048,23.0519,NA,-0.44%
2022-02-17,23.0426,23.0624,23.1255,22.9986,NA,-0.05%
2022-02-18,22.959,23.0648,23.0998,22.9599,NA,-0.36%
2022-02-21,22.9536,22.9638,23.0893,22.9547,NA,-0.02%
2022-02-22,22.9773,22.9741,23.0802,22.9534,NA,0.10%
2022-02-23,22.8736,22.9984,23.0135,22.862,NA,-0.45%
2022-02-24,22.9874,22.8964,23.2152,22.7604,NA,0.50%
2022-02-25,22.9114,23.0046,23.0562,22.8063,NA,-0.33%
2022-02-28,22.9552,22.938,23.0868,22.6964,NA,0.19%
2022-03-01,22.9564,22.9694,23.0098,22.7931,NA,0.01%
2022-03-02,22.9015,22.9851,23.0706,22.8717,NA,-0.24%
2022-03-03,22.829,22.9226,22.9877,22.8182,NA,-0.32%
2022-03-04,22.8736,22.8374,22.9686,22.7019,NA,0.20%
2022-03-07,23.1158,22.9531,23.2238,22.6998,NA,1.06%
2022-03-08,23.2901,23.1353,23.4056,23.0875,NA,0.75%
2022-03-09,23.1379,23.3068,23.3128,23.0765,NA,-0.65%
2022-03-10,22.9819,23.1621,23.3842,22.9783,NA,-0.67%
2022-03-11,22.7965,22.9994,23.115,22.8043,NA,-0.81%
2022-03-14,22.8625,22.8873,22.9998,22.802,NA,0.29%
2022-03-15,22.8,22.8804,23.0361,22.7781,NA,-0.27%
2022-03-16,22.7612,22.8268,22.8839,22.6564,NA,-0.17%
2022-03-17,22.7469,22.771,22.8694,22.7097,NA,-0.06%
2022-03-18,22.4792,22.7693,22.8057,22.486,NA,-1.18%
2022-03-21,22.4335,22.5408,22.573,22.3851,NA,-0.20%
2022-03-22,22.3549,22.4475,22.4713,22.3204,NA,-0.35%
2022-03-23,22.251,22.3738,22.4094,22.1495,NA,-0.46%
2022-03-24,22.0758,22.2568,22.2873,22.0716,NA,-0.79%
2022-03-25,21.9895,22.0947,22.1585,21.8864,NA,-0.39%
2022-03-28,22.082,22.0182,22.159,21.9482,NA,0.42%
2022-03-29,22.1301,22.0938,22.2486,22.0395,NA,0.22%
2022-03-30,22.1589,22.1507,22.2437,22.1127,NA,0.13%
2022-03-31,21.9618,22.1826,22.2262,21.9666,NA,-0.89%
2022-04-01,21.9236,21.989,22.0611,21.8066,NA,-0.17%
2022-04-04,21.7074,21.9256,21.9609,21.6709,NA,-0.99%
2022-04-05,21.7984,21.7306,21.8299,21.663,NA,0.42%
2022-04-06,21.9623,21.8116,22.0092,21.7619,NA,0.75%
2022-04-07,21.8876,21.9779,22.035,21.8312,NA,-0.34%
2022-04-08,21.7738,21.9086,21.9415,21.7698,NA,-0.52%
2022-04-11,21.6946,21.9328,21.966,21.6523,NA,-0.36%
2022-04-12,21.4279,21.7017,21.7239,21.4296,NA,-1.23%
2022-04-13,21.5229,21.4427,21.5924,21.3775,NA,0.44%
2022-04-14,21.6175,21.5443,21.6747,21.4944,NA,0.44%
2022-04-15,21.5477,21.6231,21.6429,21.532,NA,-0.32%
2022-04-18,21.3606,21.5511,21.6115,21.3639,NA,-0.87%
2022-04-19,21.5785,21.378,21.6777,21.2896,NA,1.02%
2022-04-20,21.6836,21.6014,21.7665,21.5886,NA,0.49%
2022-04-21,21.8546,21.6928,21.9533,21.6399,NA,0.79%
2022-04-22,21.8233,21.864,22.0286,21.7987,NA,-0.14%
2022-04-25,21.6405,21.9361,21.9879,21.6044,NA,-0.84%
2022-04-26,21.726,21.6579,21.8116,21.6157,NA,0.40%
2022-04-27,21.5068,21.7367,21.7568,21.4995,NA,-1.01%
2022-04-28,21.4537,21.5164,21.6772,21.4193,NA,-0.25%
2022-04-29,21.5152,21.4622,21.5958,21.3505,NA,0.29%
2022-05-02,21.4892,21.5494,21.5606,21.3831,NA,-0.12%
2022-05-03,21.3314,21.5137,21.5333,21.3202,NA,-0.73%
2022-05-04,21.2569,21.3386,21.378,21.2092,NA,-0.35%
2022-05-05,21.314,21.2753,21.3853,21.1502,NA,0.27%
2022-05-06,21.2444,21.3395,21.4273,21.2243,NA,-0.33%
2022-05-09,21.5111,21.2612,21.5551,21.2297,NA,1.26%
2022-05-10,21.4582,21.5305,21.5841,21.3762,NA,-0.25%
2022-05-11,21.3426,21.4708,21.5245,21.316,NA,-0.54%
2022-05-12,21.0096,21.3578,21.4424,20.9781,NA,-1.56%
2022-05-13,20.9136,21.015,21.0322,20.8898,NA,-0.46%
2022-05-16,20.8839,20.9198,21.0083,20.8641,NA,-0.14%
2022-05-17,21.0202,20.8955,21.0776,20.8791,NA,0.65%
2022-05-18,20.9624,21.0347,21.063,20.9007,NA,-0.27%
2022-05-19,21.0914,20.9887,21.1387,20.951,NA,0.62%
2022-05-20,20.9627,21.1082,21.1409,20.9172,NA,-0.61%
2022-05-23,21.2209,21.0018,21.2847,20.9674,NA,1.23%
2022-05-24,21.2866,21.2404,21.3839,21.1976,NA,0.31%
2022-05-25,21.1656,21.3014,21.3521,21.123,NA,-0.57%
2022-05-26,21.193,21.1851,21.2502,21.1349,NA,0.13%
2022-05-27,20.9874,21.2022,21.2757,20.9475,NA,-0.97%
2022-05-30,21.0636,21.0226,21.1024,20.8936,NA,0.36%
2022-05-31,21.0923,21.0779,21.1719,20.9261,NA,0.14%
2022-06-01,20.9595,21.1019,21.1479,20.9545,NA,-0.63%
2022-06-02,20.9762,20.9723,21.0446,20.9385,NA,0.08%
2022-06-03,20.9503,20.9912,21.0359,20.9233,NA,-0.12%
2022-06-06,20.9175,20.9739,20.9929,20.8603,NA,-0.16%
2022-06-07,20.9486,20.9334,20.9935,20.8259,NA,0.15%
2022-06-08,20.9566,20.9595,21.1026,20.9338,NA,0.04%
2022-06-09,20.8639,20.9776,21.0718,20.8451,NA,-0.44%
2022-06-10,20.9837,20.886,21.0408,20.7966,NA,0.57%
2022-06-13,21.2808,20.9954,21.379,20.9765,NA,1.42%
2022-06-14,21.433,21.2906,21.5546,21.2367,NA,0.72%
2022-06-15,21.1398,21.4513,21.6181,21.1352,NA,-1.37%
2022-06-16,21.5179,21.1559,21.723,21.1341,NA,1.79%
2022-06-17,21.3414,21.53,21.5784,21.2859,NA,-0.82%
2022-06-20,21.308,21.3121,21.3937,21.2737,NA,-0.16%
2022-06-21,21.171,21.3237,21.3696,21.1777,NA,-0.64%
2022-06-22,21.1768,21.1824,21.2617,21.0975,NA,0.03%
2022-06-23,21.048,21.1863,21.2198,20.983,NA,-0.61%
2022-06-24,20.9497,21.0698,21.1495,20.9338,NA,-0.47%
2022-06-27,21.0708,20.9681,21.1369,20.9513,NA,0.58%
2022-06-28,21.1643,21.0891,21.2382,20.9781,NA,0.44%
2022-06-29,20.9939,21.1821,21.2379,20.9866,NA,-0.81%
2022-06-30,21.0573,21.0152,21.1376,20.9621,NA,0.30%
2022-07-01,21.1177,21.0679,21.2299,21.051,NA,0.29%
2022-07-04,21.1129,21.1339,21.2428,21.1082,NA,-0.02%
2022-07-05,21.0572,21.1332,21.1782,20.9682,NA,-0.26%
2022-07-06,21.0166,21.0708,21.201,20.9664,NA,-0.19%
2022-07-07,20.829,21.0312,21.0884,20.8114,NA,-0.89%
2022-07-08,20.8171,20.8427,20.8854,20.697,NA,-0.06%
2022-07-11,20.8098,20.816,20.9655,20.7285,NA,-0.04%
2022-07-12,20.9253,20.823,21.0092,20.7941,NA,0.56%
2022-07-13,20.8453,20.9327,21.0355,20.7985,NA,-0.38%
2022-07-14,20.8233,20.857,20.9762,20.8228,NA,-0.11%
2022-07-15,20.7066,20.8384,20.9562,20.6826,NA,-0.56%
2022-07-18,20.7475,20.7127,20.8146,20.5917,NA,0.20%
2022-07-19,20.976,20.7581,20.9991,20.6977,NA,1.10%
2022-07-20,20.8954,20.9855,21.0954,20.8689,NA,-0.38%
2022-07-21,21.0871,20.9153,21.1245,20.889,NA,0.92%
2022-07-22,20.957,21.1045,21.1408,20.9109,NA,-0.62%
2022-07-25,20.9101,20.978,20.9995,20.8737,NA,-0.22%
2022-07-26,20.6771,20.9234,20.9477,20.6705,NA,-1.11%
2022-07-27,20.807,20.6953,20.8486,20.6777,NA,0.63%
2022-07-28,20.6581,20.8071,20.8412,20.6133,NA,-0.72%
2022-07-29,20.7936,20.6815,20.8503,20.5747,NA,0.66%
2022-08-01,20.9006,20.811,20.9376,20.7425,NA,0.51%
2022-08-02,21.1178,20.9175,21.1814,20.8679,NA,1.04%
2022-08-03,20.7894,21.1341,21.153,20.7558,NA,-1.56%
2022-08-04,20.826,20.8108,20.8738,20.7019,NA,0.18%
2022-08-05,20.7825,20.844,20.8689,20.679,NA,-0.21%
2022-08-08,20.6398,20.789,20.8013,20.6256,NA,-0.69%
2022-08-09,20.6446,20.6525,20.7603,20.6245,NA,0.02%
2022-08-10,20.6105,20.6644,20.7707,20.5872,NA,-0.17%
2022-08-11,20.5597,20.6285,20.716,20.5533,NA,-0.25%
2022-08-12,20.3406,20.5716,20.6108,20.3353,NA,-1.07%
2022-08-15,20.1402,20.3705,20.4092,20.1383,NA,-0.99%
2022-08-16,20.2352,20.1579,20.3411,20.1016,NA,0.47%
2022-08-17,20.3295,20.2535,20.4408,20.2332,NA,0.47%
2022-08-18,20.2809,20.3452,20.3913,20.2652,NA,-0.24%
2022-08-19,20.2185,20.3016,20.4094,20.2211,NA,-0.31%
2022-08-22,20.0142,20.2452,20.2783,19.9876,NA,-1.01%
2022-08-23,19.9051,20.0262,20.0396,19.878,NA,-0.55%
2022-08-24,19.8154,19.9175,19.9335,19.768,NA,-0.45%
2022-08-25,19.8602,19.8368,19.9301,19.8073,NA,0.23%
2022-08-26,19.9369,19.8817,20.0616,19.8476,NA,0.39%
2022-08-29,19.994,19.9995,20.0697,19.9266,NA,0.29%
2022-08-30,20.1692,20.0135,20.2559,19.9334,NA,0.88%
2022-08-31,20.2496,20.1801,20.2625,20.1321,NA,0.40%
2022-09-01,20.0551,20.2508,20.3181,20.0575,NA,-0.96%
2022-09-02,19.8313,20.072,20.1625,19.8442,NA,-1.12%
2022-09-05,19.8383,19.846800000000002,19.8808,19.7427,NA,0.04%
2022-09-06,19.9229,19.8531,19.9909,19.8058,NA,0.43%
2022-09-07,19.966,19.9392,20.02,19.8836,NA,0.22%
2022-09-08,19.943,19.981,20.1221,19.8909,NA,-0.12%
2022-09-09,19.9535,19.9615,20.1245,19.9451,NA,0.05%
