"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2021","24.2822","24.2550","24.3641","24.2177","","0.16%"
"05/19/2021","24.2430","24.2460","24.3639","24.1800","","0.03%"
"05/18/2021","24.2347","24.0435","24.2959","24.0268","","0.89%"
"05/17/2021","24.0213","24.1161","24.2316","24.0172","","-0.35%"
"05/14/2021","24.1064","24.0833","24.1506","23.9659","","0.17%"
"05/13/2021","24.0654","24.3448","24.3964","24.0511","","-1.09%"
"05/12/2021","24.3303","24.2560","24.3761","24.1356","","0.41%"
"05/11/2021","24.2301","24.1768","24.3075","24.1241","","0.28%"
"05/10/2021","24.1634","24.2302","24.2694","24.1390","","-0.17%"
"05/07/2021","24.2044","24.2304","24.3074","24.1148","","0.03%"
"05/06/2021","24.1980","24.3270","24.4617","24.2026","","-0.43%"
"05/05/2021","24.3029","24.2698","24.3598","24.1899","","0.25%"
"05/04/2021","24.2422","24.3416","24.4455","24.2363","","-0.30%"
"05/03/2021","24.3162","24.3393","24.4906","24.2950","","0.04%"
"04/30/2021","24.3076","24.3030","24.3846","24.1903","","0.09%"
"04/29/2021","24.2865","24.1502","24.4176","24.0634","","0.67%"
"04/28/2021","24.1260","24.2486","24.2577","24.0671","","-0.41%"
"04/27/2021","24.2264","23.9890","24.2703","23.9787","","1.04%"
"04/26/2021","23.9768","23.9965","24.0646","23.9256","","0.01%"
"04/23/2021","23.9742","23.9491","24.0266","23.8911","","0.20%"
"04/22/2021","23.9267","23.9298","24.0574","23.8538","","0.05%"
"04/21/2021","23.9152","24.0409","24.0653","23.8337","","-0.43%"
"04/20/2021","24.0179","23.8516","24.0544","23.8436","","0.74%"
"04/19/2021","23.8410","23.8866","23.9215","23.7838","","-0.10%"
"04/16/2021","23.8641","23.8652","23.9622","23.8227","","0.05%"
"04/15/2021","23.8510","24.0474","24.0795","23.8132","","-0.74%"
"04/14/2021","24.0291","23.9974","24.0846","23.9527","","0.14%"
"04/13/2021","23.9947","23.9893","24.0743","23.9184","","0.10%"
"04/12/2021","23.9704","23.9753","24.0322","23.9006","","-0.02%"
"04/09/2021","23.9758","23.9492","24.0591","23.9116","","0.21%"
"04/08/2021","23.9264","23.9797","24.0187","23.8776","","-0.24%"
"04/07/2021","23.9838","23.9424","24.0415","23.9247","","0.15%"
"04/06/2021","23.9467","23.9966","24.0725","23.8526","","-0.12%"
"04/05/2021","23.9763","23.8919","24.0759","23.8050","","0.40%"
"04/02/2021","23.8816","23.9038","23.9500","23.8657","","0.03%"
"04/01/2021","23.8738","23.9760","24.0341","23.8354","","-0.32%"
"03/31/2021","23.9509","24.1203","24.1598","23.9255","","-0.60%"
"03/30/2021","24.0957","24.2441","24.2964","24.0763","","-0.59%"
"03/29/2021","24.2392","24.2901","24.4921","24.2106","","-0.12%"
"03/26/2021","24.2679","24.3316","24.4251","24.2034","","-0.22%"
"03/25/2021","24.3221","24.7341","24.7422","24.2369","","-1.58%"
"03/24/2021","24.7119","24.7076","24.7802","24.4464","","0.13%"
"03/23/2021","24.6806","24.5492","24.7946","24.3839","","0.62%"
"03/22/2021","24.5283","24.4007","24.7917","24.3535","","0.55%"
"03/19/2021","24.3940","24.4095","24.4706","24.1364","","0.01%"
"03/18/2021","24.3912","24.4371","24.5408","24.2731","","-0.12%"
"03/17/2021","24.4207","24.5443","24.7640","24.3298","","-0.48%"
"03/16/2021","24.5393","24.6316","24.7276","24.4258","","-0.28%"
"03/15/2021","24.6087","24.7801","24.8494","24.6121","","-0.65%"
"03/12/2021","24.7705","24.6946","24.9486","24.6787","","0.35%"
"03/11/2021","24.6846","24.9102","24.9428","24.6693","","-0.82%"
"03/10/2021","24.8899","25.2244","25.2705","24.8799","","-1.27%"
